ticker,sector,split,days,base_trades,base_win_rate,base_pf,base_pnl,base_max_dd,vol_trades,vol_win_rate,vol_pf,vol_pnl,vol_max_dd,delta_wr,delta_pf,delta_pnl
JNJ,Healthcare,oos,24,12,33.3,0.68,-1.64,-3.12,6,50.0,4.53,2.39,-0.56,16.7,3.85,4.02
ACN,Technology,full,60,27,70.4,3.0,14.56,-4.93,25,84.0,14.54,20.11,-0.77,13.6,11.54,5.55
ACN,Technology,is,36,19,78.9,11.1,17.1,-0.88,18,83.3,20.44,15.86,-0.43,4.4,9.33,-1.23
ACN,Technology,oos,24,9,55.6,1.1,0.55,-4.93,8,87.5,11.97,7.34,-0.67,31.9,10.87,6.78
GM,Consumer Cyclical,full,60,20,40.0,1.16,1.15,-3.9,16,62.5,3.03,6.15,-1.81,22.5,1.88,5.0
GM,Consumer Cyclical,is,36,15,26.7,0.56,-2.57,-3.72,12,50.0,1.51,1.53,-1.81,23.3,0.95,4.11
GM,Consumer Cyclical,oos,24,5,80.0,3.34,3.72,-1.59,4,100.0,4616.71,4.62,0.0,20.0,4613.36,0.89
FAST,Industrials,full,60,33,48.5,1.14,2.31,-5.96,31,64.5,2.04,10.51,-4.48,16.0,0.9,8.19
FAST,Industrials,is,36,23,56.5,1.83,7.47,-4.26,21,76.2,3.87,12.81,-2.34,19.7,2.04,5.34
FAST,Industrials,oos,24,11,36.4,0.42,-4.44,-5.96,11,45.5,0.72,-1.59,-4.48,9.1,0.3,2.85
V,Financial Services,full,60,37,40.5,0.67,-4.77,-7.43,28,60.7,2.75,7.37,-1.37,20.2,2.08,12.14
V,Financial Services,is,36,24,50.0,0.88,-0.88,-2.67,18,61.1,2.65,3.88,-1.13,11.1,1.78,4.76
V,Financial Services,oos,24,13,23.1,0.48,-3.89,-5.16,10,60.0,2.87,3.49,-1.17,36.9,2.39,7.38
MS,Financial Services,full,60,21,57.1,2.15,7.69,-2.88,20,70.0,5.21,11.18,-1.02,12.9,3.05,3.49
MS,Financial Services,is,36,18,61.1,3.25,8.52,-1.33,18,72.2,7.65,10.92,-0.57,11.1,4.4,2.4
MS,Financial Services,oos,24,4,50.0,0.87,-0.38,-2.88,3,66.7,1.7,0.72,-1.02,16.7,0.84,1.09
AMAT,Technology,full,60,10,60.0,1.71,4.01,-2.45,8,62.5,2.65,4.02,-2.44,2.5,0.94,0.0
AMAT,Technology,is,36,6,66.7,4.48,4.76,-1.37,4,100.0,5182.74,5.18,0.0,33.3,5178.27,0.42
AMAT,Technology,oos,24,5,60.0,1.16,0.68,-2.45,5,40.0,1.11,0.26,-2.44,-20.0,-0.05,-0.42
ABBV,Healthcare,full,60,35,51.4,1.54,7.07,-3.88,29,65.5,3.23,14.2,-1.92,14.1,1.69,7.13
ABBV,Healthcare,is,36,23,56.5,1.87,6.77,-3.88,19,68.4,4.28,11.12,-1.92,11.9,2.41,4.35
ABBV,Healthcare,oos,24,12,41.7,1.05,0.3,-1.56,10,60.0,2.03,3.08,-1.47,18.3,0.98,2.78
FISV,Unknown,full,60,28,50.0,1.64,6.12,-3.55,27,55.6,2.33,8.52,-1.62,5.6,0.69,2.4
FISV,Unknown,is,36,22,54.5,2.06,6.96,-2.18,21,61.9,3.09,8.66,-1.4,7.4,1.03,1.7
FISV,Unknown,oos,24,7,28.6,0.47,-2.45,-1.62,7,28.6,0.55,-1.75,-1.62,0.0,0.08,0.7
UPS,Industrials,full,60,30,46.7,0.79,-3.2,-9.79,24,66.7,1.48,3.26,-4.37,20.0,0.7,6.46
UPS,Industrials,is,36,24,41.7,0.63,-5.11,-9.56,18,66.7,1.45,2.47,-4.37,25.0,0.82,7.57
UPS,Industrials,oos,24,6,66.7,2.5,1.91,-1.08,6,66.7,1.63,0.8,-1.08,0.0,-0.87,-1.11
TEAM,Technology,full,60,21,76.2,3.25,17.1,-6.12,21,76.2,4.46,19.16,-4.09,0.0,1.21,2.06
TEAM,Technology,is,36,17,70.6,2.1,8.36,-6.12,17,70.6,2.88,10.41,-4.09,0.0,0.78,2.06
TEAM,Technology,oos,24,5,100.0,10483.16,10.48,0.0,5,100.0,10483.16,10.48,0.0,0.0,0.0,0.0
CL,Consumer Defensive,full,60,32,46.9,0.94,-0.69,-3.6,27,66.7,2.32,8.24,-1.61,19.8,1.37,8.93
CL,Consumer Defensive,is,36,22,50.0,0.89,-0.92,-3.6,18,77.8,3.59,7.12,-0.77,27.8,2.7,8.04
CL,Consumer Defensive,oos,24,10,40.0,1.05,0.23,-1.61,9,44.4,1.32,1.11,-1.61,4.4,0.27,0.88
PEP,Consumer Defensive,full,60,44,63.6,1.94,9.36,-2.74,39,76.9,5.15,15.66,-2.04,13.3,3.21,6.31
PEP,Consumer Defensive,is,36,31,61.3,1.87,6.53,-2.74,27,81.5,11.47,13.8,-0.63,20.2,9.59,7.27
PEP,Consumer Defensive,oos,24,13,69.2,2.15,2.83,-1.96,12,66.7,1.76,1.87,-2.04,-2.6,-0.39,-0.96
TXN,Technology,full,60,19,36.8,0.47,-6.58,-9.63,17,64.7,1.12,0.92,-4.66,27.9,0.64,7.51
TXN,Technology,is,36,13,38.5,0.57,-4.05,-6.6,11,54.5,0.72,-2.1,-4.66,16.1,0.15,1.95
TXN,Technology,oos,24,6,33.3,0.21,-2.54,-3.21,6,83.3,8.77,3.02,-0.39,50.0,8.56,5.56
GILD,Healthcare,full,60,33,57.6,2.55,14.7,-2.78,28,64.3,4.07,16.97,-2.37,6.7,1.52,2.27
GILD,Healthcare,is,36,25,56.0,2.19,9.86,-2.78,20,65.0,3.81,12.13,-2.37,9.0,1.62,2.27
GILD,Healthcare,oos,24,9,66.7,5.02,4.9,-0.81,9,66.7,5.02,4.9,-0.81,0.0,0.0,0.0
CARR,Industrials,full,60,21,47.6,0.88,-1.22,-5.33,19,52.6,0.99,-0.04,-4.17,5.0,0.12,1.18
CARR,Industrials,is,36,16,56.2,1.13,0.89,-5.33,14,64.3,1.37,2.05,-4.17,8.0,0.24,1.16
CARR,Industrials,oos,24,5,20.0,0.33,-2.11,-1.44,5,20.0,0.33,-2.09,-1.41,0.0,0.0,0.02
IP,Consumer Cyclical,full,60,22,31.8,0.71,-5.24,-7.86,21,47.6,1.22,2.78,-5.64,15.8,0.52,8.03
IP,Consumer Cyclical,is,36,18,33.3,0.69,-4.38,-7.0,17,47.1,1.2,2.03,-5.64,13.7,0.51,6.41
IP,Consumer Cyclical,oos,24,5,20.0,0.47,-3.04,-3.61,4,50.0,1.3,0.75,-2.0,30.0,0.82,3.79
TGT,Consumer Defensive,full,60,30,53.3,1.44,5.64,-2.48,25,68.0,4.32,14.6,-1.75,14.7,2.88,8.97
